timestamp,impact,name
2025-01-10 08:30,high,NFP
2025-01-14 08:30,high,PPI
2025-01-15 08:30,high,CPI
2025-01-29 14:00,high,FOMC rate decision
2025-01-29 14:30,high,FOMC press conference
